valid_time,sm_swvl1
2024-05-01,0.1774753
2024-05-02,0.17770042
2024-05-03,0.18650496
2024-05-04,0.20122226
2024-05-05,0.21333928
2024-05-06,0.21387419
2024-05-07,0.20482184
2024-05-08,0.2389256
2024-05-09,0.2588514
2024-05-10,0.24496667
2024-05-11,0.25104058
2024-05-12,0.26716262
2024-05-13,0.2641462
2024-05-14,0.24039583
2024-05-15,0.22462784
2024-05-16,0.23513934
2024-05-17,0.28837198
2024-05-18,0.35802892
2024-05-19,0.39759505
2024-05-20,0.39783788
2024-05-21,0.37578732
2024-05-22,0.35854217
2024-05-23,0.35031214
2024-05-24,0.3240977
2024-05-25,0.30019528
2024-05-26,0.27533764
2024-05-27,0.24938272
2024-05-28,0.2289902
2024-05-29,0.21358776
2024-05-30,0.20301783
2024-05-31,0.19523661
2024-06-01,0.22320497
2024-06-02,0.30698794
2024-06-03,0.4086703
2024-06-04,0.4096056
2024-06-05,0.45106983
2024-06-06,0.44352406
2024-06-07,0.4383041
2024-06-08,0.42884704
2024-06-09,0.41430974
2024-06-10,0.40809268
2024-06-11,0.3893755
2024-06-12,0.39647138
2024-06-13,0.4234783
2024-06-14,0.3898358
2024-06-15,0.35881653
2024-06-16,0.3409217
2024-06-17,0.36214134
2024-06-18,0.4175825
2024-06-19,0.4375987
2024-06-20,0.43364123
2024-06-21,0.40493172
2024-06-22,0.3849291
2024-06-23,0.3726208
2024-06-24,0.35442558
2024-06-25,0.36779106
2024-06-26,0.38050556
2024-06-27,0.40698612
2024-06-28,0.3715487
2024-06-29,0.35237426
2024-06-30,0.37347335
2024-07-01,0.42304698
2024-07-02,0.3899958
2024-07-03,0.37554526
2024-07-04,0.37442598
2024-07-05,0.39162213
2024-07-06,0.41786015
2024-07-07,0.3922165
2024-07-08,0.42042452
2024-07-09,0.417464
2024-07-10,0.38461143
2024-07-11,0.42206377
2024-07-12,0.41102844
2024-07-13,0.43679613
2024-07-14,0.44266582
2024-07-15,0.4433364
2024-07-16,0.44475043
2024-07-17,0.42534578
2024-07-18,0.41488874
2024-07-19,0.41495198
2024-07-20,0.41086775
2024-07-21,0.4009034
2024-07-22,0.38356292
2024-07-23,0.35902393
2024-07-24,0.33872604
2024-07-25,0.32092875
2024-07-26,0.306849
2024-07-27,0.29085267
2024-07-28,0.27534324
2024-07-29,0.2876423
2024-07-30,0.39525574
2024-07-31,0.36996526
2024-08-01,0.3431042
2024-08-02,0.3263709
2024-08-03,0.34165984
2024-08-04,0.40155935
2024-08-05,0.38688254
2024-08-06,0.4321301
2024-08-07,0.4367892
2024-08-08,0.40621608
2024-08-09,0.42574713
2024-08-10,0.43392467
2024-08-11,0.4308609
2024-08-12,0.41559643
2024-08-13,0.4325708
2024-08-14,0.41485575
2024-08-15,0.3956647
2024-08-16,0.3916775
2024-08-17,0.39195544
2024-08-18,0.37687132
2024-08-19,0.3804652
2024-08-20,0.37557095
2024-08-21,0.35815287
2024-08-22,0.34151238
2024-08-23,0.32774398
2024-08-24,0.31754926
2024-08-25,0.30385584
2024-08-26,0.28426293
2024-08-27,0.2793592
2024-08-28,0.3193441
2024-08-29,0.35002935
2024-08-30,0.3619393
2024-08-31,0.38513067
2024-09-01,0.35632932
2024-09-02,0.32142133
2024-09-03,0.31038293
2024-09-04,0.30260605
2024-09-05,0.28944594
2024-09-06,0.4001611
2024-09-07,0.38221943
2024-09-08,0.38569883
2024-09-09,0.36365217
2024-09-10,0.3374228
2024-09-11,0.310828
2024-09-12,0.2869087
2024-09-13,0.26610446
2024-09-14,0.24729013
2024-09-15,0.2310189
2024-09-16,0.21810268
2024-09-17,0.20877573
2024-09-18,0.2057255
2024-09-19,0.2006802
2024-09-20,0.1958083
2024-09-21,0.20088027
2024-09-22,0.21028602
2024-09-23,0.24549338
2024-09-24,0.30385682
2024-09-25,0.30774814
2024-09-26,0.28549072
2024-09-27,0.27284443
2024-09-28,0.36108136
2024-09-29,0.36927158
2024-09-30,0.3265066
2024-10-01,0.29294953
2024-10-02,0.2763707
2024-10-03,0.33808404
2024-10-04,0.3719406
2024-10-05,0.39433324
2024-10-06,0.3542811
2024-10-07,0.33904517
2024-10-08,0.36728746
2024-10-09,0.40530795
2024-10-10,0.40084523
2024-10-11,0.38941997
2024-10-12,0.41234407
2024-10-13,0.40424109
2024-10-14,0.42350417
2024-10-15,0.4425263
2024-10-16,0.45159847
2024-10-17,0.45096302
2024-10-18,0.43627477
2024-10-19,0.43502086
2024-10-20,0.42384654
2024-10-21,0.44036943
2024-10-22,0.4276325
2024-10-23,0.4099349
2024-10-24,0.40053368
2024-10-25,0.3792217
2024-10-26,0.3587116
2024-10-27,0.34505448
2024-10-28,0.3339815
2024-10-29,0.3209076
2024-10-30,0.3132978
2024-10-31,0.3169796
2024-11-01,0.32395628
2024-11-02,0.3399174
2024-11-03,0.35614675
2024-11-04,0.35236645
2024-11-05,0.33021596
2024-11-06,0.31160182
2024-11-07,0.30560657
2024-11-08,0.29936445
2024-11-09,0.28659824
2024-11-10,0.27712125
2024-11-11,0.2712518
2024-11-12,0.38937262
2024-11-13,0.42866617
2024-11-14,0.42197236
2024-11-15,0.42077243
2024-11-16,0.41897574
2024-11-17,0.40714133
2024-11-18,0.40017736
2024-11-19,0.3877724
2024-11-20,0.37167048
2024-11-21,0.35598105
2024-11-22,0.3400736
2024-11-23,0.32846224
2024-11-24,0.31928104
2024-11-25,0.31140321
2024-11-26,0.3284635
2024-11-27,0.3401841
2024-11-28,0.3600233
2024-11-29,0.3942061
2024-11-30,0.43637982
2024-12-01,0.44098237
2024-12-02,0.43532532
2024-12-03,0.43888476
2024-12-04,0.4274813
2024-12-05,0.4240663
2024-12-06,0.421749
2024-12-07,0.4135327
2024-12-08,0.39862627
2024-12-09,0.38475102
2024-12-10,0.37489817
2024-12-11,0.39857316
2024-12-12,0.44310415
2024-12-13,0.41517437
2024-12-14,0.40400362
2024-12-15,0.39436722
2024-12-16,0.38467255
2024-12-17,0.3769791
2024-12-18,0.4006337
2024-12-19,0.4081102
2024-12-20,0.40336075
2024-12-21,0.39376563
2024-12-22,0.38586965
2024-12-23,0.37141567
2024-12-24,0.38619888
2024-12-25,0.38763487
2024-12-26,0.40516764
2024-12-27,0.4322555
2024-12-28,0.40962008
2024-12-29,0.39858907
2024-12-30,0.38886827
2024-12-31,0.3768465
